"year","mean_aflatoxin","median_aflatoxin"
2022,1.5930985915493,0
2023,6.70333333333333,0.005
2016,1.21388888888889,0
2017,7.25236111111111,0
2018,10.7802857142857,0
2019,2.39888888888889,0
2020,3.77486111111111,0
2021,3.21971830985915,0.01
2022,4.94464788732394,0
2023,6.17722222222222,0
2016,15.9363888888889,0
2017,1.72361111111111,0
2018,1.69628571428571,0
2019,4.95208333333333,0
2020,7.92263888888889,0
2021,17.5225352112676,0
2022,6.36788732394366,0
2023,0.745833333333333,0
2016,1.57361111111111,0.005
2017,1.71722222222222,0.005
2018,2.866,0
2019,1.32972222222222,0
2020,7.70333333333333,0
2021,1.99774647887324,0.01
2022,0.655633802816901,0
2023,1.44666666666667,0
2016,0.685,0
2017,4.02083333333333,0
2018,3.14285714285714,0
2019,4.75,0
2020,11.885,0
2021,2.43,0
2022,5.75450704225352,0
2023,5.39583333333333,0
2016,0.8625,0.04
2017,14.2834722222222,0
2018,14.6551428571429,0
2019,4.92361111111111,0
2020,5.03944444444444,0
2021,0.249295774647887,0
2022,6.16971830985915,0
2023,1.01777777777778,0
2016,7.71972222222222,0
2017,0.670972222222222,0
2018,2.13142857142857,0
2019,2.52583333333333,0
2020,5.60777777777778,0
2021,3.02732394366197,0
2022,5.03366197183099,0
2023,5.09472222222222,0
2016,12.6763888888889,0.005
2017,4.92458333333333,0
2018,10.5575714285714,0.01
2019,14.9873611111111,0
2020,2.53180555555556,0
2021,7.57507042253521,0
2022,6.01338028169014,0
2023,0.473888888888889,0
2016,0.49,0
2017,0.793055555555556,0
2018,1.402,0
2019,2.57722222222222,0
2020,2.05402777777778,0
2021,3.43957746478873,0
2022,6.91281690140845,0
2023,1.76388888888889,0
2016,12.4516666666667,0.01
2017,11.24625,0
2018,3.46314285714286,0
2019,6.70277777777778,0
2020,10.4805555555556,0
2021,3.40281690140845,0
2022,11.0461971830986,0
2023,1.40527777777778,0
2016,1.22638888888889,0.005
2017,1.72555555555556,0
2018,4.96142857142857,0
2019,5.55638888888889,0
2020,2.40361111111111,0
2021,1.58464788732394,0
2022,2.50211267605634,0
2023,1.17555555555556,0.005
2016,1.70861111111111,0.025
2017,1.38638888888889,0.05
2018,2.78785714285714,0
2019,5.14861111111111,0.015
2020,16.0844444444444,0
2021,3.85704225352113,0
2022,5.17929577464789,0
2023,0.363333333333333,0
2016,2.86555555555556,0
2017,2.54277777777778,0
2018,2.24785714285714,0
2019,3.40958333333333,0
2020,2.76902777777778,0
2021,5.56028169014085,0
2022,2.25169014084507,0
2023,5.30333333333333,0
2016,9.64361111111111,0.005
2017,0.597083333333333,0
