EXPERIMENT,RUN,year,soil,AFCON
016_AAAV,10,2016,Dothan Soil,0
016_AAAV,11,2016,Dothan Soil,0
016_AAAV,12,2016,Dothan Soil,0.21
016_AAAV,13,2016,Dothan Soil,0
016_AAAV,14,2016,Dothan Soil,0
016_AAAV,15,2016,Dothan Soil,0.93
016_AAAV,16,2016,Dothan Soil,0
016_AAAV,17,2016,Dothan Soil,0
016_AAAV,18,2016,Dothan Soil,3.46
016_AAAV,19,2016,Dothan Soil,0.01
016_AAAV,20,2016,Dothan Soil,0
016_AAAV,21,2016,Dothan Soil,0
016_AAAV,22,2016,Dothan Soil,0.13
016_AAAV,23,2016,Dothan Soil,0
016_AAAV,24,2016,Dothan Soil,0
016_AAAV,25,2016,Dothan Soil,0.57
016_AAAV,26,2016,Dothan Soil,0
016_AAAV,27,2016,Dothan Soil,0
016_AAAV,28,2016,Dothan Soil,2.15
016_AAAV,29,2016,Dothan Soil,0.01
016_AAAV,30,2016,Dothan Soil,0
016_AAAV,31,2016,Dothan Soil,5.5
016_AAAV,32,2016,Dothan Soil,0.14
016_AAAV,33,2016,Dothan Soil,0
016_AAAV,34,2016,Dothan Soil,0
016_AAAV,35,2016,Dothan Soil,0.13
016_AAAV,36,2016,Dothan Soil,0
016_AAAV,37,2016,Dothan Soil,0
016_AAAV,38,2016,Dothan Soil,0.74
016_AAAV,39,2016,Dothan Soil,0
016_AAAV,40,2016,Dothan Soil,0
016_AABB,1,2016,Dothan Soil,15.35
016_AABB,2,2016,Dothan Soil,0.26
016_AABB,3,2016,Dothan Soil,0
016_AABB,4,2016,Dothan Soil,0
016_AABB,5,2016,Dothan Soil,0.23
016_AABB,6,2016,Dothan Soil,0
016_AABB,7,2016,Dothan Soil,0
016_AABB,8,2016,Dothan Soil,1.88
016_AABB,9,2016,Dothan Soil,0
016_AABB,10,2016,Dothan Soil,0
016_AABB,11,2016,Dothan Soil,0
016_AABB,12,2016,Dothan Soil,0.12
016_AABB,13,2016,Dothan Soil,0
016_AABB,14,2016,Dothan Soil,0
016_AABB,15,2016,Dothan Soil,0.72
016_AABB,16,2016,Dothan Soil,0
016_AABB,17,2016,Dothan Soil,0
016_AABB,18,2016,Dothan Soil,1.43
016_AABB,19,2016,Dothan Soil,0.01
016_AABB,20,2016,Dothan Soil,0
016_AABB,21,2016,Dothan Soil,0
016_AABB,22,2016,Dothan Soil,0.07
016_AABB,23,2016,Dothan Soil,0
016_AABB,24,2016,Dothan Soil,0
016_AABB,25,2016,Dothan Soil,0.31
016_AABB,26,2016,Dothan Soil,0
016_AABB,27,2016,Dothan Soil,0
016_AABB,28,2016,Dothan Soil,0.83
016_AABB,29,2016,Dothan Soil,0.01
016_AABB,30,2016,Dothan Soil,0
016_AABB,31,2016,Dothan Soil,1.29
016_AABB,32,2016,Dothan Soil,0.04
